name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;652;0;330;3053;1094;3053;1071;0
header;240;149;240;187;1873;187;1873;149
A;927;96;927;99;930;99;930;96
A;1038;212;1038;237;1058;237;1058;212
B;747;626;747;644;762;644;762;626
B;1038;892;1038;918;1058;918;1058;892
C;1036;1566;1036;1594;1057;1594;1057;1566
A;639;1853;639;1869;646;1869;646;1853
D;1043;2230;1043;2256;1063;2256;1063;2230
B;727;2564;727;2578;747;2578;747;2564
B;419;2703;419;2717;439;2717;439;2703
B;383;2737;383;2752;406;2752;406;2737
